"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 05:36:21 GMT 2023","Thu Jul 27 05:36:40 GMT 2023","19790","","Users Playlist Generation Sanity:","","Users Playlist Generation Sanity:","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 06:13:37 GMT 2023","Thu Jul 27 06:13:40 GMT 2023","3690","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","Verify WeeklyPlaylists widget on the home screen works","Verify WeeklyPlaylists widget on the home screen works","SessionId: 515aab891d0e6c76f1a7f5b85572e92beded0836"
"passed","Thu Jul 27 05:37:59 GMT 2023","Thu Jul 27 05:38:45 GMT 2023","45704","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","navigates to library screen and starts level 1","navigates to library screen and starts level 1","SessionId: 1ff9df7af5856886bcb2d37e1f48bff30223bbc7"
"failed","Thu Jul 27 05:47:45 GMT 2023","Thu Jul 27 05:50:45 GMT 2023","180015","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Child's pose and skips to the next exercise","verifies the info for Child's pose and skips to the next exercise","SessionId: 1ff9df7af5856886bcb2d37e1f48bff30223bbc7"
"passed","Thu Jul 27 06:07:46 GMT 2023","Thu Jul 27 06:08:06 GMT 2023","19909","","ET Playlist Execution","","ET Playlist Execution","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 06:10:06 GMT 2023","Thu Jul 27 06:10:13 GMT 2023","6436","","Login screen","","Login screen","shows input validation warnings when no inputs are provided","shows input validation warnings when no inputs are provided","SessionId: d9b5499e4941ebee6c97381077b341dae8339e4f"
"passed","Thu Jul 27 06:05:18 GMT 2023","Thu Jul 27 06:05:25 GMT 2023","6812","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups main page from the Profile Screen via SKIP action","navigates to Groups main page from the Profile Screen via SKIP action","SessionId: 8372a88820b3ec4d906ef7cc9f8ddf566df7c3da"
"passed","Thu Jul 27 06:06:35 GMT 2023","Thu Jul 27 06:06:50 GMT 2023","14307","","Levels Sanity Check:","","Levels Sanity Check:","Verify levels widget on the home screen works","Verify levels widget on the home screen works","SessionId: 26948900e4488783aabcb10c38e75e067b9eb21e"
"passed","Thu Jul 27 06:08:14 GMT 2023","Thu Jul 27 06:08:21 GMT 2023","6844","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List selection work fine","Verify if Articles List selection work fine","SessionId: 8f5775a1d1bfa33af7c471af366b535579f28fc9"
"passed","Thu Jul 27 05:58:54 GMT 2023","Thu Jul 27 05:59:01 GMT 2023","7013","","Enso Basic Sanity:","","Enso Basic Sanity:","""after all"" hook","""after all"" hook",""
"failed","Thu Jul 27 05:38:45 GMT 2023","Thu Jul 27 05:41:45 GMT 2023","180011","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","completely renders the ET Overview Screen","completely renders the ET Overview Screen","SessionId: 1ff9df7af5856886bcb2d37e1f48bff30223bbc7"
"passed","Thu Jul 27 06:03:04 GMT 2023","Thu Jul 27 06:05:18 GMT 2023","134261","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups profile page from the Intro Screen","navigates to Groups profile page from the Intro Screen","SessionId: 8372a88820b3ec4d906ef7cc9f8ddf566df7c3da"
"passed","Thu Jul 27 06:10:58 GMT 2023","Thu Jul 27 06:11:04 GMT 2023","6074","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify for an invalid input as email id and expecting the APP to throw and error on the screen","Verify for an invalid input as email id and expecting the APP to throw and error on the screen","SessionId: 2dea4946daf9fc61a91ead77d7c7d2041bf1ad4f"
"failed","Thu Jul 27 05:50:45 GMT 2023","Thu Jul 27 05:53:45 GMT 2023","180002","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Chin tucks and skips to the next exercise","verifies the info for Chin tucks and skips to the next exercise","SessionId: 1ff9df7af5856886bcb2d37e1f48bff30223bbc7"
"passed","Thu Jul 27 06:06:15 GMT 2023","Thu Jul 27 06:06:35 GMT 2023","20492","","Levels Sanity Check:","","Levels Sanity Check:","""before all"" hook","""before all"" hook",""
"failed","Thu Jul 27 05:44:45 GMT 2023","Thu Jul 27 05:47:45 GMT 2023","180005","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Cat cow and skips to the next exercise","verifies the info for Cat cow and skips to the next exercise","SessionId: 1ff9df7af5856886bcb2d37e1f48bff30223bbc7"
"passed","Thu Jul 27 06:06:50 GMT 2023","Thu Jul 27 06:06:53 GMT 2023","3042","","Levels Sanity Check:","","Levels Sanity Check:","Verify exiting from levels navigates the app to home screen","Verify exiting from levels navigates the app to home screen","SessionId: 26948900e4488783aabcb10c38e75e067b9eb21e"
"passed","Thu Jul 27 05:58:50 GMT 2023","Thu Jul 27 05:58:54 GMT 2023","4621","","Enso Basic Sanity:","","Enso Basic Sanity:","verifies if Enso Card is presented on login for Enso user","verifies if Enso Card is presented on login for Enso user","SessionId: 2eef8ebed4eeb22aceaf67240561679e715828ac"
"passed","Thu Jul 27 06:08:21 GMT 2023","Thu Jul 27 06:08:49 GMT 2023","28367","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List feedback summary works upon a submit","Verify if Articles List feedback summary works upon a submit","SessionId: 8f5775a1d1bfa33af7c471af366b535579f28fc9"
"passed","Thu Jul 27 05:35:27 GMT 2023","Thu Jul 27 05:35:33 GMT 2023","6394","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present pre scroll","Verify options on Account Screen are present pre scroll","SessionId: 73719d3dd4d7f33ccf5496aa7e14f9ccbe64c736"
"passed","Thu Jul 27 05:35:33 GMT 2023","Thu Jul 27 05:35:41 GMT 2023","8235","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present post scroll","Verify options on Account Screen are present post scroll","SessionId: 73719d3dd4d7f33ccf5496aa7e14f9ccbe64c736"
"failed","Thu Jul 27 05:41:45 GMT 2023","Thu Jul 27 05:44:45 GMT 2023","180007","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Bear crawl holds and skips to the next exercise","verifies the info for Bear crawl holds and skips to the next exercise","SessionId: 1ff9df7af5856886bcb2d37e1f48bff30223bbc7"
"passed","Thu Jul 27 06:09:31 GMT 2023","Thu Jul 27 06:09:42 GMT 2023","10842","","Login screen","","Login screen","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 05:58:33 GMT 2023","Thu Jul 27 05:58:50 GMT 2023","16954","","Enso Basic Sanity:","","Enso Basic Sanity:","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 05:34:57 GMT 2023","Thu Jul 27 05:35:27 GMT 2023","29421","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 06:10:49 GMT 2023","Thu Jul 27 06:10:53 GMT 2023","4476","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 06:13:16 GMT 2023","Thu Jul 27 06:13:37 GMT 2023","20797","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 06:10:53 GMT 2023","Thu Jul 27 06:10:58 GMT 2023","5130","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset Password options works fine","Verify if reset Password options works fine","SessionId: 2dea4946daf9fc61a91ead77d7c7d2041bf1ad4f"
"passed","Thu Jul 27 06:11:51 GMT 2023","Thu Jul 27 06:12:18 GMT 2023","26987","","Progress Tab Sanity Check:","","Progress Tab Sanity Check:","""before all"" hook","""before all"" hook",""
