"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 05:36:40 GMT 2023","Thu Jul 27 05:37:00 GMT 2023","19828","","Users Playlist Generation Sanity:: Chronic AE User Login","","Users Playlist Generation Sanity:: Chronic AE User Login","Verify if login is successful and the playlist option is present on the home screen","Verify if login is successful and the playlist option is present on the home screen","SessionId: 5d014569a20a4f8ab9502aad8cdeec6fbb94fd81"
"passed","Thu Jul 27 06:09:42 GMT 2023","Thu Jul 27 06:10:06 GMT 2023","24690","","Login screen","","Login screen","Check if Login is a success","Check if Login is a success","SessionId: d9b5499e4941ebee6c97381077b341dae8339e4f"
"failed","Thu Jul 27 06:00:04 GMT 2023","Thu Jul 27 06:03:04 GMT 2023","180013","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups Tab a checks the introduction","navigates to Groups Tab a checks the introduction","SessionId: 8372a88820b3ec4d906ef7cc9f8ddf566df7c3da"
"passed","Thu Jul 27 05:59:48 GMT 2023","Thu Jul 27 06:00:04 GMT 2023","16277","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 06:05:25 GMT 2023","Thu Jul 27 06:05:33 GMT 2023","8238","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""after all"" hook","""after all"" hook",""
"passed","Thu Jul 27 06:08:06 GMT 2023","Thu Jul 27 06:08:14 GMT 2023","7881","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles selection work fine and the items are rendered properly","Verify if Articles selection work fine and the items are rendered properly","SessionId: 8f5775a1d1bfa33af7c471af366b535579f28fc9"
"failed","Thu Jul 27 05:56:45 GMT 2023","Thu Jul 27 05:57:58 GMT 2023","72946","","ET Playlist Execution","","ET Playlist Execution","""after all"" hook","""after all"" hook",""
"passed","Thu Jul 27 06:11:04 GMT 2023","Thu Jul 27 06:11:15 GMT 2023","11002","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset password works when giving a valid email id","Verify if reset password works when giving a valid email id","SessionId: 2dea4946daf9fc61a91ead77d7c7d2041bf1ad4f"
"failed","Thu Jul 27 05:53:45 GMT 2023","Thu Jul 27 05:56:45 GMT 2023","180009","","ET Playlist Execution","","ET Playlist Execution","displays the ET Complete screen upon completing the ET session","displays the ET Complete screen upon completing the ET session","SessionId: 1ff9df7af5856886bcb2d37e1f48bff30223bbc7"
"passed","Thu Jul 27 06:13:40 GMT 2023","Thu Jul 27 06:13:43 GMT 2023","2978","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","Verify exiting from Weekly Playlists navigates the app to home screen","Verify exiting from Weekly Playlists navigates the app to home screen","SessionId: 515aab891d0e6c76f1a7f5b85572e92beded0836"
"passed","Thu Jul 27 05:35:41 GMT 2023","Thu Jul 27 05:35:44 GMT 2023","3048","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","logout","logout","SessionId: 73719d3dd4d7f33ccf5496aa7e14f9ccbe64c736"
"passed","Thu Jul 27 06:12:18 GMT 2023","Thu Jul 27 06:12:26 GMT 2023","7697","","Progress Tab Sanity Check:","","Progress Tab Sanity Check:","Verify Progress bar selection and Top page validation","Verify Progress bar selection and Top page validation","SessionId: 358aa7062abd825f92997133b51e4014f12f30aa"
