"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 13:25:34 GMT 2023","Thu Jul 27 13:25:52 GMT 2023","18355","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Cat cow and skips to the next exercise","verifies the info for Cat cow and skips to the next exercise","SessionId: 75ab1031b1da2730ee18ea8ba9cc719f990126e5"
"passed","Thu Jul 27 13:34:57 GMT 2023","Thu Jul 27 13:35:17 GMT 2023","19673","","Levels Sanity Check:","","Levels Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 13:31:47 GMT 2023","Thu Jul 27 13:34:00 GMT 2023","133359","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups profile page from the Intro Screen","navigates to Groups profile page from the Intro Screen","SessionId: 3b97a369934dc10519339fa92574820f268f659c"
"passed","Thu Jul 27 13:27:23 GMT 2023","Thu Jul 27 13:27:42 GMT 2023","18338","","Enso Basic Sanity:","","Enso Basic Sanity:","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 13:22:10 GMT 2023","Thu Jul 27 13:22:33 GMT 2023","22699","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","""before all"" hook","""before all"" hook",""
"failed","Thu Jul 27 13:28:47 GMT 2023","Thu Jul 27 13:31:47 GMT 2023","180009","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups Tab a checks the introduction","navigates to Groups Tab a checks the introduction","SessionId: 3b97a369934dc10519339fa92574820f268f659c"
"passed","Thu Jul 27 13:26:28 GMT 2023","Thu Jul 27 13:26:33 GMT 2023","4550","","ET Playlist Execution","","ET Playlist Execution","displays the ET Complete screen upon completing the ET session","displays the ET Complete screen upon completing the ET session","SessionId: 75ab1031b1da2730ee18ea8ba9cc719f990126e5"
"passed","Thu Jul 27 13:34:07 GMT 2023","Thu Jul 27 13:34:15 GMT 2023","8236","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""after all"" hook","""after all"" hook",""
"passed","Thu Jul 27 13:35:17 GMT 2023","Thu Jul 27 13:35:31 GMT 2023","14302","","Levels Sanity Check:","","Levels Sanity Check:","Verify levels widget on the home screen works","Verify levels widget on the home screen works","SessionId: ce335c444ab3164cc0b98a455c1979851725256f"
"passed","Thu Jul 27 13:36:40 GMT 2023","Thu Jul 27 13:36:46 GMT 2023","6392","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List selection work fine","Verify if Articles List selection work fine","SessionId: c0c87cfc89a712016202966695a0d01dd67f5abb"
"passed","Thu Jul 27 13:35:31 GMT 2023","Thu Jul 27 13:35:34 GMT 2023","2781","","Levels Sanity Check:","","Levels Sanity Check:","Verify exiting from levels navigates the app to home screen","Verify exiting from levels navigates the app to home screen","SessionId: ce335c444ab3164cc0b98a455c1979851725256f"
"passed","Thu Jul 27 13:23:20 GMT 2023","Thu Jul 27 13:23:42 GMT 2023","21810","","Users Playlist Generation Sanity:","","Users Playlist Generation Sanity:","""before all"" hook","""before all"" hook",""
"passed","Thu Jul 27 13:36:46 GMT 2023","Thu Jul 27 13:37:13 GMT 2023","27193","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List feedback summary works upon a submit","Verify if Articles List feedback summary works upon a submit","SessionId: c0c87cfc89a712016202966695a0d01dd67f5abb"
"passed","Thu Jul 27 13:40:59 GMT 2023","Thu Jul 27 13:41:14 GMT 2023","15041","","Progress Tab Sanity Check:","","Progress Tab Sanity Check:","Verify Progress bar selection and Top page validation","Verify Progress bar selection and Top page validation","SessionId: 5895f66eb9a443b54fe5d993bc887cad0e85c5d4"
