"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 14:39:41 GMT 2023","Wed Jul 26 14:40:21 GMT 2023","40338","","Users Playlist Generation Sanity:","","Users Playlist Generation Sanity:","""before all"" hook","""before all"" hook",""
"passed","Wed Jul 26 14:38:51 GMT 2023","Wed Jul 26 14:38:58 GMT 2023","7080","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present post scroll","Verify options on Account Screen are present post scroll","SessionId: 55a036437449b78e0a3924304786a0b879a67c05"
"passed","Wed Jul 26 14:38:58 GMT 2023","Wed Jul 26 14:39:01 GMT 2023","2972","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","logout","logout","SessionId: 55a036437449b78e0a3924304786a0b879a67c05"
"passed","Wed Jul 26 14:42:16 GMT 2023","Wed Jul 26 14:42:35 GMT 2023","18556","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Woodpecker and skips to the next exercise","verifies the info for Woodpecker and skips to the next exercise","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
"passed","Wed Jul 26 14:59:07 GMT 2023","Wed Jul 26 14:59:13 GMT 2023","5553","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify for an invalid input as email id and expecting the APP to throw and error on the screen","Verify for an invalid input as email id and expecting the APP to throw and error on the screen","SessionId: 51314187dfede77f6390d87e4f0bcbdb811a6d50"
"passed","Wed Jul 26 14:55:24 GMT 2023","Wed Jul 26 14:55:31 GMT 2023","6474","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles selection work fine and the items are rendered properly","Verify if Articles selection work fine and the items are rendered properly","SessionId: 654ccfc2a812ff9845aead9fe52b8fd176b46ae9"
"passed","Wed Jul 26 14:45:11 GMT 2023","Wed Jul 26 14:45:16 GMT 2023","5056","","Enso Basic Sanity:","","Enso Basic Sanity:","verifies if Enso Card is presented on login for Enso user","verifies if Enso Card is presented on login for Enso user","SessionId: e40bc1b892a6096fede1fdeb21d33d1396279f3e"
"passed","Wed Jul 26 14:54:49 GMT 2023","Wed Jul 26 14:55:24 GMT 2023","35505","","ET Playlist Execution","","ET Playlist Execution","""before all"" hook","""before all"" hook",""
"failed","Wed Jul 26 14:46:32 GMT 2023","Wed Jul 26 14:49:32 GMT 2023","180010","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups Tab a checks the introduction","navigates to Groups Tab a checks the introduction","SessionId: 767520fd876f6fd867350a53731601d57db7f760"
"passed","Wed Jul 26 14:42:55 GMT 2023","Wed Jul 26 14:43:17 GMT 2023","21238","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Standing child's pose and skips to the next exercise","verifies the info for Standing child's pose and skips to the next exercise","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
"passed","Wed Jul 26 15:01:45 GMT 2023","Wed Jul 26 15:02:20 GMT 2023","35083","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Wed Jul 26 14:52:38 GMT 2023","Wed Jul 26 14:53:32 GMT 2023","54498","","Levels Sanity Check:","","Levels Sanity Check:","""before all"" hook","""before all"" hook",""
"passed","Wed Jul 26 14:55:37 GMT 2023","Wed Jul 26 14:56:05 GMT 2023","27741","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List feedback summary works upon a submit","Verify if Articles List feedback summary works upon a submit","SessionId: 654ccfc2a812ff9845aead9fe52b8fd176b46ae9"
"passed","Wed Jul 26 15:02:24 GMT 2023","Wed Jul 26 15:02:26 GMT 2023","2795","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","Verify exiting from Weekly Playlists navigates the app to home screen","Verify exiting from Weekly Playlists navigates the app to home screen","SessionId: bcde3a178f3a9e75e364585167a5cabf006e633d"
"failed","Wed Jul 26 14:42:13 GMT 2023","Wed Jul 26 14:42:16 GMT 2023","3333","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","completely renders the ET Overview Screen","completely renders the ET Overview Screen","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
"passed","Wed Jul 26 14:49:32 GMT 2023","Wed Jul 26 14:51:45 GMT 2023","133237","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups profile page from the Intro Screen","navigates to Groups profile page from the Intro Screen","SessionId: 767520fd876f6fd867350a53731601d57db7f760"
"passed","Wed Jul 26 14:45:57 GMT 2023","Wed Jul 26 14:46:32 GMT 2023","35139","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""before all"" hook","""before all"" hook",""
"passed","Wed Jul 26 14:51:52 GMT 2023","Wed Jul 26 14:52:00 GMT 2023","7743","","Groups Tab Basic Sanity","","Groups Tab Basic Sanity","""after all"" hook","""after all"" hook",""
"passed","Wed Jul 26 14:43:38 GMT 2023","Wed Jul 26 14:44:00 GMT 2023","22845","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Side bend and skips to the next exercise","verifies the info for Side bend and skips to the next exercise","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
"passed","Wed Jul 26 14:58:37 GMT 2023","Wed Jul 26 14:59:02 GMT 2023","25135","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","""before all"" hook","""before all"" hook",""
"passed","Wed Jul 26 14:51:45 GMT 2023","Wed Jul 26 14:51:52 GMT 2023","6670","","Groups Tab Basic Sanity: Groups Tab Functional Test:","","Groups Tab Basic Sanity: Groups Tab Functional Test:","navigates to Groups main page from the Profile Screen via SKIP action","navigates to Groups main page from the Profile Screen via SKIP action","SessionId: 767520fd876f6fd867350a53731601d57db7f760"
"passed","Wed Jul 26 14:53:32 GMT 2023","Wed Jul 26 14:53:51 GMT 2023","18886","","Levels Sanity Check:","","Levels Sanity Check:","Verify levels widget on the home screen works","Verify levels widget on the home screen works","SessionId: 9b043fae6420db7c07bd42bf36016bc86b0a3ff3"
"passed","Wed Jul 26 14:44:05 GMT 2023","Wed Jul 26 14:44:16 GMT 2023","10687","","ET Playlist Execution","","ET Playlist Execution","""after all"" hook","""after all"" hook",""
"passed","Wed Jul 26 15:00:41 GMT 2023","Wed Jul 26 15:00:50 GMT 2023","9249","","Progress Tab Sanity Check:","","Progress Tab Sanity Check:","Verify Progress bar selection and Top page validation","Verify Progress bar selection and Top page validation","SessionId: 2d799d5daabd79e0bcadb2d3006d71f9c9fadd97"
"passed","Wed Jul 26 15:02:21 GMT 2023","Wed Jul 26 15:02:24 GMT 2023","3138","","Weekly Playlist Sanity Check:","","Weekly Playlist Sanity Check:","Verify WeeklyPlaylists widget on the home screen works","Verify WeeklyPlaylists widget on the home screen works","SessionId: bcde3a178f3a9e75e364585167a5cabf006e633d"
"passed","Wed Jul 26 14:38:46 GMT 2023","Wed Jul 26 14:38:51 GMT 2023","5772","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","Verify options on Account Screen are present pre scroll","Verify options on Account Screen are present pre scroll","SessionId: 55a036437449b78e0a3924304786a0b879a67c05"
"passed","Wed Jul 26 14:45:16 GMT 2023","Wed Jul 26 14:45:23 GMT 2023","7741","","Enso Basic Sanity:","","Enso Basic Sanity:","""after all"" hook","""after all"" hook",""
"passed","Wed Jul 26 14:56:50 GMT 2023","Wed Jul 26 14:57:23 GMT 2023","32779","","Login screen","","Login screen","""before all"" hook","""before all"" hook",""
"passed","Wed Jul 26 14:44:51 GMT 2023","Wed Jul 26 14:45:11 GMT 2023","19967","","Enso Basic Sanity:","","Enso Basic Sanity:","""before all"" hook","""before all"" hook",""
"passed","Wed Jul 26 14:59:13 GMT 2023","Wed Jul 26 14:59:23 GMT 2023","10373","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset password works when giving a valid email id","Verify if reset password works when giving a valid email id","SessionId: 51314187dfede77f6390d87e4f0bcbdb811a6d50"
"passed","Wed Jul 26 14:59:02 GMT 2023","Wed Jul 26 14:59:07 GMT 2023","5119","","Login screen Reset Password Functionality","","Login screen Reset Password Functionality","Verify if reset Password options works fine","Verify if reset Password options works fine","SessionId: 51314187dfede77f6390d87e4f0bcbdb811a6d50"
"passed","Wed Jul 26 14:42:35 GMT 2023","Wed Jul 26 14:42:55 GMT 2023","20917","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Hamstring stretch and skips to the next exercise","verifies the info for Hamstring stretch and skips to the next exercise","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
