"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 14:43:17 GMT 2023","Wed Jul 26 14:43:38 GMT 2023","20952","","ET Playlist Execution","","ET Playlist Execution","verifies the info for Glute stretch and skips to the next exercise","verifies the info for Glute stretch and skips to the next exercise","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
"passed","Wed Jul 26 14:55:31 GMT 2023","Wed Jul 26 14:55:37 GMT 2023","6540","","ET Playlist Execution","","ET Playlist Execution","Verify if Articles List selection work fine","Verify if Articles List selection work fine","SessionId: 654ccfc2a812ff9845aead9fe52b8fd176b46ae9"
"passed","Wed Jul 26 14:38:04 GMT 2023","Wed Jul 26 14:38:46 GMT 2023","41228","","Accounts Tab Sanity Check:","","Accounts Tab Sanity Check:","""before all"" hook","""before all"" hook",""
"failed","Wed Jul 26 14:40:21 GMT 2023","Wed Jul 26 14:40:39 GMT 2023","18396","","Users Playlist Generation Sanity:: Chronic AE User Login","","Users Playlist Generation Sanity:: Chronic AE User Login","Verify if login is successful and the playlist option is present on the home screen","Verify if login is successful and the playlist option is present on the home screen","SessionId: 4632e60ffdceba15fd2e1e0bc68d3552d3b77bbd"
"passed","Wed Jul 26 14:44:00 GMT 2023","Wed Jul 26 14:44:05 GMT 2023","4907","","ET Playlist Execution","","ET Playlist Execution","displays the ET Complete screen upon completing the ET session","displays the ET Complete screen upon completing the ET session","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
"passed","Wed Jul 26 14:57:49 GMT 2023","Wed Jul 26 14:57:59 GMT 2023","10667","","Login screen","","Login screen","shows input validation warnings when no inputs are provided","shows input validation warnings when no inputs are provided","SessionId: 9776d7751b06f2cbe838134f65df84d76ad5c607"
"passed","Wed Jul 26 14:42:02 GMT 2023","Wed Jul 26 14:42:13 GMT 2023","10293","","ET Playlist Execution: sensorlessNeckPlaylist","","ET Playlist Execution: sensorlessNeckPlaylist","navigates to library screen and starts level 1","navigates to library screen and starts level 1","SessionId: 5b3c3cc90e62f40d8402689f06deeb69c4f2e6ec"
"passed","Wed Jul 26 14:53:51 GMT 2023","Wed Jul 26 14:53:58 GMT 2023","6759","","Levels Sanity Check:","","Levels Sanity Check:","Verify exiting from levels navigates the app to home screen","Verify exiting from levels navigates the app to home screen","SessionId: 9b043fae6420db7c07bd42bf36016bc86b0a3ff3"
"passed","Wed Jul 26 14:57:23 GMT 2023","Wed Jul 26 14:57:49 GMT 2023","25419","","Login screen","","Login screen","Check if Login is a success","Check if Login is a success","SessionId: 9776d7751b06f2cbe838134f65df84d76ad5c607"
"passed","Wed Jul 26 15:00:02 GMT 2023","Wed Jul 26 15:00:41 GMT 2023","38153","","Progress Tab Sanity Check:","","Progress Tab Sanity Check:","""before all"" hook","""before all"" hook",""
